Condition	Species	riboCIRC_ID	Genome_assembly	Genome_pos	Strand	Spliced_length	Transcript	Symbol	Ensembl	Dataset_count	Evidences	Other_ids
Condition-independent	Mouse	mmu_circAlb_002	mm10	chr5:90467343-90468695	+	345	NM_009654	Alb	ENSMUSG00000029368	1	3: RPF,cORF,m6A	circAtlas:mmu-Alb_0005,CIRCpedia:MMU_CIRCpedia_39627
Condition-independent	Mouse	mmu_circAlb_003	mm10	chr5:90472004-90472684	+	363	NM_009654	Alb	ENSMUSG00000029368	1	3: RPF,cORF,m6A	circAtlas:mmu-Alb_0006,CIRCpedia:MMU_CIRCpedia_39629
Condition-independent	Mouse	mmu_circSeptin11_001	mm10	chr5:93165248-93167687	+	321	NM_001310669	Septin11	ENSMUSG00000058013	1	3: RPF,cORF,m6A	circAtlas:mmu-Sept11_0007,CIRCpedia:MMU_CIRCpedia_214910
Condition-independent	Mouse	mmu_circLin54_001	mm10	chr5:100480197-100485855	-	840	NM_001346583	Lin54	ENSMUSG00000035310	1	2: RPF,cORF	circAtlas:mmu-Lin54_0003,circBase:mmu_circ_0011923,CIRCpedia:MMU_CIRCpedia_163
Condition-independent	Mouse	mmu_circKlhl8_001	mm10	chr5:103885906-103886290	-	384	NM_178741	Klhl8	ENSMUSG00000029312	1	3: RPF,cORF,m6A	circAtlas:mmu-Klhl8_0003,circBase:mmu_circ_0011943,CIRCpedia:MMU_CIRCpedia_1070
Condition-independent	Mouse	mmu_circKlhl8_002	mm10	chr5:103885906-103890781	-	451	NM_001359986	Klhl8	ENSMUSG00000029312	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Klhl8_0006,circBase:mmu_circ_0011944,TSCD:chr5:103885906-103890781
Condition-independent	Mouse	mmu_circGbp8_001	mm10	chr5:105030828-105031319	-	307	NM_029509	Gbp8	ENSMUSG00000034438	1	2: RPF,cORF	circAtlas:mmu-Gbp8_0001
Condition-independent	Mouse	mmu_circZfp644_001	mm10	chr5:106634830-106638635	-	962	NM_026856	Zfp644	ENSMUSG00000049606	1	2: RPF,cORF	circAtlas:mmu-Zfp644_0003,circBase:mmu_circ_0001382,CIRCpedia:MMU_CIRCpedia_1797
Condition-independent	Mouse	mmu_circEp400_001	mm10	chr5:110673108-110676938	-	769	NM_173066	Ep400	ENSMUSG00000029505	1	2: RPF,cORF	circAtlas:mmu-Ep400_0015,circBase:mmu_circ_0001386,CIRCpedia:MMU_CIRCpedia_2954
Condition-independent	Mouse	mmu_circEp400_002	mm10	chr5:110720735-110727578	-	306	NM_173066	Ep400	ENSMUSG00000029505	1	3: RPF,cORF,m6A	CIRCpedia:MMU_CIRCpedia_37303
Condition-independent	Mouse	mmu_circEp400_003	mm10	chr5:110755396-110756766	-	1370	NM_173066	Ep400	ENSMUSG00000029505	3	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ep400_0005,circBase:mmu_circ_0001388,CIRCpedia:MMU_CIRCpedia_2986
Condition-independent	Mouse	mmu_circFbxo21_001	mm10	chr5:117990802-117995502	+	450	NM_001346588	Fbxo21	ENSMUSG00000032898	1	3: RPF,cORF,m6A	circAtlas:mmu-Fbxo21_0004,CIRCpedia:MMU_CIRCpedia_39651
Condition-independent	Mouse	mmu_circMed13l_001	mm10	chr5:118593332-118593570	+	238	NM_001347445	Med13l	ENSMUSG00000018076	7	4: RPF,cORF,MS,m6A	circAtlas:mmu-Med13l_0003,circBase:mmu_circ_0001396,CIRCpedia:MMU_CIRCpedia_4551
Condition-independent	Mouse	mmu_circMed13l_002	mm10	chr5:118671012-118680971	+	169	NM_001347445	Med13l	ENSMUSG00000018076	2	3: RPF,cORF,MS	circAtlas:mmu-Med13l_0004,circBase:mmu_circ_0001398,CIRCpedia:MMU_CIRCpedia_4573
Condition-independent	Mouse	mmu_circAtxn2_001	mm10	chr5:121745722-121749229	+	320	NM_009125	Atxn2	ENSMUSG00000042605	1	3: RPF,cORF,m6A	circAtlas:mmu-Atxn2_0002,circBase:mmu_circ_0001405,CIRCpedia:MMU_CIRCpedia_5587
Condition-independent	Mouse	mmu_circDenr_001	mm10	chr5:123917199-123924847	+	286	NM_026603	Denr	ENSMUSG00000023106	1	3: RPF,cORF,m6A	circAtlas:mmu-Denr_0003,CIRCpedia:MMU_CIRCpedia_6215
Condition-independent	Mouse	mmu_circSbno1_001	mm10	chr5:124386829-124393995	-	1092	NM_001081203	Sbno1	ENSMUSG00000038095	1	3: RPF,cORF,m6A	circAtlas:mmu-Sbno1_0020
Condition-independent	Mouse	mmu_circEif2b1_001	mm10	chr5:124576797-124577152	-	355	NM_145371	Eif2b1	ENSMUSG00000029388	2	2: RPF,cORF	circAtlas:mmu-Eif2b1_0003,circBase:mmu_circ_0012131,CIRCpedia:MMU_CIRCpedia_6349
Condition-independent	Mouse	mmu_circScarb1_001	mm10	chr5:125297225-125298728	-	212	NM_001205082	Scarb1	ENSMUSG00000037936	1	3: RPF,cORF,m6A	circAtlas:mmu-Scarb1_0010,CIRCpedia:MMU_CIRCpedia_6467
Condition-independent	Mouse	mmu_circAsl_001	mm10	chr5:130016096-130018916	-	395	NM_133768	Asl	ENSMUSG00000025533	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Asl_0001,circBase:mmu_circ_0001413,CIRCpedia:MMU_CIRCpedia_7432
Condition-independent	Mouse	mmu_circRabgef1_001	mm10	chr5:130187400-130191043	+	353	NM_001199059	Rabgef1	ENSMUSG00000025340	2	3: RPF,cORF,m6A	circAtlas:mmu-Rabgef1_0002,circBase:mmu_circ_0001414,CIRCpedia:MMU_CIRCpedia_7454
Condition-independent	Mouse	mmu_circTmem248_001	mm10	chr5:130229448-130232040	+	464	NM_027854	Tmem248	ENSMUSG00000053094	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Tmem248_0002,CIRCpedia:MMU_CIRCpedia_7470
Condition-independent	Mouse	mmu_circGtf2i_001	mm10	chr5:134272523-134311801	-	435	NM_001359064	Gtf2i	ENSMUSG00000060261	1	4: RPF,cORF,MS,IRES	circAtlas:mmu-Gtf2i_0042
Condition-independent	Mouse	mmu_circMlxipl_001	mm10	chr5:135121505-135124017	+	501	NR_152882	Mlxipl	ENSMUSG00000005373	2	2: RPF,cORF	circAtlas:mmu-Mlxipl_0002,CIRCpedia:MMU_CIRCpedia_8211
Condition-independent	Mouse	mmu_circPor_001	mm10	chr5:135715871-135716063	+	192	NM_008898	Por	ENSMUSG00000005514	2	3: RPF,cORF,m6A	circAtlas:mmu-Por_0001,CIRCpedia:MMU_CIRCpedia_39666
Condition-independent	Mouse	mmu_circGigyf1_001	mm10	chr5:137525429-137525559	+	130	NM_031408	Gigyf1	ENSMUSG00000029714	1	2: RPF,cORF	circBase:mmu_circ_0012221,CIRCpedia:MMU_CIRCpedia_8514
Condition-independent	Mouse	mmu_circIqce_001	mm10	chr5:140674336-140680945	-	621	NM_001347517	Iqce	ENSMUSG00000036555	2	3: RPF,cORF,m6A	circAtlas:mmu-Iqce_0002,circBase:mmu_circ_0012249,CIRCpedia:MMU_CIRCpedia_9004,TSCD:chr5:140674336-140680945
Condition-independent	Mouse	mmu_circTnrc18_001	mm10	chr5:142743402-142755659	-	707	NM_001122730	Tnrc18	ENSMUSG00000039477	1	2: RPF,cORF	circAtlas:mmu-Tnrc18_0010,CIRCpedia:MMU_CIRCpedia_9218
Condition-independent	Mouse	mmu_circTnrc18_002	mm10	chr5:142750379-142755659	-	534	NM_001122730	Tnrc18	ENSMUSG00000039477	1	3: RPF,cORF,m6A	circAtlas:mmu-Tnrc18_0003,CIRCpedia:MMU_CIRCpedia_217064
Condition-independent	Mouse	mmu_circActb_001	mm10	chr5:142905236-142905692	-	456	NM_007393	Actb	ENSMUSG00000029580	1	2: RPF,cORF	circAtlas:mmu-Actb_0032,CIRCpedia:MMU_CIRCpedia_223415
Condition-independent	Mouse	mmu_circActb_002	mm10	chr5:142905563-142905692	-	129	NM_007393	Actb	ENSMUSG00000029580	5	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_9269
Condition-independent	Mouse	mmu_circCyp3a11_001	mm10	chr5:145858720-145860538	-	390	NM_007818	Cyp3a11	ENSMUSG00000056035	1	3: RPF,cORF,MS	circAtlas:mmu-Cyp3a11_0003
Condition-independent	Mouse	mmu_circCdk8_001	mm10	chr5:146259504-146271735	+	328	NM_153599	Cdk8	ENSMUSG00000029635	3	4: RPF,cORF,MS,m6A	circAtlas:mmu-Cdk8_0001,circBase:mmu_circ_0012323,CIRCpedia:MMU_CIRCpedia_9638
Condition-independent	Mouse	mmu_circCdk8_002	mm10	chr5:146268214-146271735	+	252	NM_153599	Cdk8	ENSMUSG00000029635	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Cdk8_0014,CIRCpedia:MMU_CIRCpedia_9643
Condition-independent	Mouse	mmu_circCdk8_003	mm10	chr5:146283628-146299850	+	217	NM_153599	Cdk8	ENSMUSG00000029635	1	2: RPF,cORF	circAtlas:mmu-Cdk8_0002,CIRCpedia:MMU_CIRCpedia_9649
Condition-independent	Mouse	mmu_circPan3_001	mm10	chr5:147450652-147455188	+	260	NM_028291	Pan3	ENSMUSG00000029647	1	2: RPF,cORF	circAtlas:mmu-Pan3_0014,circBase:mmu_circ_0001431,CIRCpedia:MMU_CIRCpedia_9769
Condition-independent	Mouse	mmu_circHsph1_001	mm10	chr5:149627535-149627642	-	107	NM_013559	Hsph1	ENSMUSG00000029657	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_10027
Condition-independent	Mouse	mmu_circGlcci1_001	mm10	chr6:8537816-8582790	+	717	NM_001286729	Glcci1	ENSMUSG00000029638	1	3: RPF,cORF,m6A	circAtlas:mmu-Gm16039_0001,CIRCpedia:MMU_CIRCpedia_32064
Condition-independent	Mouse	mmu_circAass_001	mm10	chr6:23107139-23122737	-	637	NM_013930	Aass	ENSMUSG00000029695	2	2: RPF,cORF	circAtlas:mmu-Aass_0001,CIRCpedia:MMU_CIRCpedia_13680
Condition-independent	Mouse	mmu_circSnd1_001	mm10	chr6:28626099-28795938	+	627	NM_019776	Snd1	ENSMUSG00000001424	1	3: RPF,cORF,m6A	circAtlas:mmu-Snd1_0002,CIRCpedia:MMU_CIRCpedia_15253
Condition-independent	Mouse	mmu_circSnd1_002	mm10	chr6:28668557-28795938	+	537	NM_019776	Snd1	ENSMUSG00000001424	1	3: RPF,cORF,m6A	circAtlas:mmu-Snd1_0012,CIRCpedia:MMU_CIRCpedia_40554
Condition-independent	Mouse	mmu_circExoc4_001	mm10	chr6:33438379-33442039	+	235	NM_001347089	Exoc4	ENSMUSG00000029763	1	3: RPF,cORF,m6A	circAtlas:mmu-Exoc4_0001,circBase:mmu_circ_0013297,CIRCpedia:MMU_CIRCpedia_16914
Condition-independent	Mouse	mmu_circTrim24_001	mm10	chr6:37903532-37931500	+	779	NM_001272076	Trim24	ENSMUSG00000029833	1	3: RPF,cORF,m6A	circAtlas:mmu-Trim24_0001,circBase:mmu_circ_0013341,CIRCpedia:MMU_CIRCpedia_18697
Condition-independent	Mouse	mmu_circTmem178b_001	mm10	chr6:40004144-40004258	+	114	NM_001360978	Tmem178b	ENSMUSG00000057716	1	2: RPF,cORF	circBase:mmu_circ_0013383,CIRCpedia:MMU_CIRCpedia_19276
Condition-independent	Mouse	mmu_circMgam_001	mm10	chr6:40683938-40709120	+	2685	NM_001368875	Mgam	ENSMUSG00000068587	7	2: RPF,cORF	circAtlas:mmu-Mgam_0003
Condition-independent	Mouse	mmu_circMgam_002	mm10	chr6:40692058-40756460	+	5367	NM_001368875	Mgam	ENSMUSG00000068587	1	3: RPF,cORF,MS	circAtlas:mmu-Mgam_0034
Condition-independent	Mouse	mmu_circMgam_003	mm10	chr6:40708965-40744949	+	2682	NM_001368875	Mgam	ENSMUSG00000068587	5	2: RPF,cORF	circAtlas:mmu-Mgam_0002
Condition-independent	Mouse	mmu_circCntnap2_001	mm10	chr6:45653993-45654104	+	111	NM_001004357	Cntnap2	ENSMUSG00000039419	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_219763
Condition-independent	Mouse	mmu_circEzh2_001	mm10	chr6:47554123-47556150	-	262	NM_007971	Ezh2	ENSMUSG00000029687	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ezh2_0010,circBase:mmu_circ_0013417,CIRCpedia:MMU_CIRCpedia_21120
Condition-independent	Mouse	mmu_circEzh2_002	mm10	chr6:47576535-47577667	-	666	NM_007971	Ezh2	ENSMUSG00000029687	1	2: RPF,cORF	circAtlas:mmu-Ezh2_0001,circBase:mmu_circ_0001471,CIRCpedia:MMU_CIRCpedia_21123
Condition-independent	Mouse	mmu_circPdia4_001	mm10	chr6:47806505-47807211	-	345	NM_009787	Pdia4	ENSMUSG00000025823	2	3: RPF,cORF,m6A	circAtlas:mmu-Pdia4_0003
Condition-independent	Mouse	mmu_circHnrnpa2b1_001	mm10	chr6:51463410-51467295	-	194	NM_182650	Hnrnpa2b1	ENSMUSG00000004980	1	2: RPF,cORF	circAtlas:mmu-Hnrnpa2b1_0004,CIRCpedia:MMU_CIRCpedia_227894
Condition-independent	Mouse	mmu_circHnrnpa2b1_002	mm10	chr6:51465178-51466222	-	144	NM_182650	Hnrnpa2b1	ENSMUSG00000004980	1	3: RPF,cORF,m6A	circAtlas:mmu-Hnrnpa2b1_0001,CIRCpedia:MMU_CIRCpedia_22092
Condition-independent	Mouse	mmu_circHibadh_001	mm10	chr6:52619976-52630349	-	393	NM_145567	Hibadh	ENSMUSG00000029776	2	4: RPF,cORF,MS,m6A	circAtlas:mmu-Hibadh_0001,circBase:mmu_circ_0013437,CIRCpedia:MMU_CIRCpedia_22407
Condition-independent	Mouse	mmu_circPrdm5_001	mm10	chr6:65831248-65857817	+	473	NM_027547	Prdm5	ENSMUSG00000029913	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Prdm5_0025,CIRCpedia:MMU_CIRCpedia_212949
Condition-independent	Mouse	mmu_circRmnd5a_001	mm10	chr6:71413249-71414919	-	236	NM_024288	Rmnd5a	ENSMUSG00000002222	1	2: RPF,cORF	circAtlas:mmu-Rmnd5a_0002,circBase:mmu_circ_0013505,CIRCpedia:MMU_CIRCpedia_27808
Condition-independent	Mouse	mmu_circImmt_001	mm10	chr6:71856911-71863270	+	507	NM_001253681	Immt	ENSMUSG00000052337	1	3: RPF,cORF,m6A	circAtlas:mmu-Immt_0014,CIRCpedia:MMU_CIRCpedia_27911
Condition-independent	Mouse	mmu_circHk2_001	mm10	chr6:82730767-82739674	-	1344	NM_013820	Hk2	ENSMUSG00000000628	1	3: RPF,cORF,m6A	circAtlas:mmu-Hk2_0009,circBase:mmu_circ_0001485
Condition-independent	Mouse	mmu_circDctn1_001	mm10	chr6:83194673-83194805	+	132	NM_001198867	Dctn1	ENSMUSG00000031865	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_31216
Condition-independent	Mouse	mmu_circTet3_001	mm10	chr6:83402666-83404824	-	2158	NM_001347313	Tet3	ENSMUSG00000034832	2	3: RPF,cORF,m6A	circAtlas:mmu-Tet3_0001,circBase:mmu_circ_0013536,CIRCpedia:MMU_CIRCpedia_31281
Condition-independent	Mouse	mmu_circZfp638_001	mm10	chr6:83928652-83930165	+	1513	NM_008717	Zfp638	ENSMUSG00000030016	1	3: RPF,cORF,m6A	circAtlas:mmu-Zfml_0002,circBase:mmu_circ_0013540,CIRCpedia:MMU_CIRCpedia_31441,TSCD:chr6:83928652-83930165
Condition-independent	Mouse	mmu_circExoc6b_001	mm10	chr6:84989324-85005036	-	390	NM_177077	Exoc6b	ENSMUSG00000033769	1	2: RPF,cORF	circAtlas:mmu-Exoc6b_0002,circBase:mmu_circ_0001487,CIRCpedia:MMU_CIRCpedia_31895
Condition-independent	Mouse	mmu_circMxd1_001	mm10	chr6:86651441-86668634	-	402	NM_010751	Mxd1	ENSMUSG00000001156	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Mxd1_0003
Condition-independent	Mouse	mmu_circEefsec_001	mm10	chr6:88355482-88358642	-	262	NM_023060	Eefsec	ENSMUSG00000033216	2	3: RPF,cORF,m6A	circAtlas:mmu-Eefsec_0001,circBase:mmu_circ_0001491,CIRCpedia:MMU_CIRCpedia_33084
Condition-independent	Mouse	mmu_circFbln2_001	mm10	chr6:91233062-91234351	+	1289	NM_001081437	Fbln2	ENSMUSG00000064080	1	3: RPF,cORF,m6A	circAtlas:mmu-Fbln2_0004,CIRCpedia:MMU_CIRCpedia_38534
Condition-independent	Mouse	mmu_circPrickle2_001	mm10	chr6:92458474-92458658	-	184	NM_001134461	Prickle2	ENSMUSG00000030020	1	2: RPF,cORF	circAtlas:mmu-Prickle2_0005
Condition-independent	Mouse	mmu_circSuclg2_001	mm10	chr6:95566383-95579235	-	402	NM_001326558	Suclg2	ENSMUSG00000061838	1	3: RPF,cORF,m6A	circAtlas:mmu-Suclg2_0005
Condition-independent	Mouse	mmu_circFoxp1_001	mm10	chr6:99075853-99076045	-	192	NM_053202	Foxp1	ENSMUSG00000030067	1	2: RPF,cORF	circAtlas:mmu-Foxp1_0030,CIRCpedia:MMU_CIRCpedia_37168
Condition-independent	Mouse	mmu_circFoxp1_002	mm10	chr6:99308343-99435345	-	225	NM_053202	Foxp1	ENSMUSG00000030067	1	2: RPF,cORF	circAtlas:mmu-Foxp1_0016,CIRCpedia:MMU_CIRCpedia_36121
Condition-independent	Mouse	mmu_circPpp4r2_001	mm10	chr6:100864678-100866083	+	515	NM_182939	Ppp4r2	ENSMUSG00000052144	15	4: RPF,cORF,MS,m6A	circAtlas:mmu-Ppp4r2_0004
Condition-independent	Mouse	mmu_circItpr1_001	mm10	chr6:108416809-108418000	+	261	NM_010585	Itpr1	ENSMUSG00000030102	1	3: RPF,cORF,m6A	circAtlas:mmu-Itpr1_0019
Condition-independent	Mouse	mmu_circItpr1_002	mm10	chr6:108505876-108523448	+	1097	NM_010585	Itpr1	ENSMUSG00000030102	1	3: RPF,cORF,m6A	circAtlas:mmu-Itpr1_0037
Condition-independent	Mouse	mmu_circSetd5_001	mm10	chr6:113104934-113110525	+	445	NM_028385	Setd5	ENSMUSG00000034269	5	4: RPF,cORF,MS,m6A	circAtlas:mmu-Setd5_0023
Condition-independent	Mouse	mmu_circSetd5_002	mm10	chr6:113104934-113111536	+	683	NM_028385	Setd5	ENSMUSG00000034269	1	3: RPF,cORF,m6A	circAtlas:mmu-Setd5_0009,CIRCpedia:MMU_CIRCpedia_3497
Condition-independent	Mouse	mmu_circZfand4_001	mm10	chr6:116273572-116273872	+	300	NM_001290339	Zfand4	ENSMUSG00000042213	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Zfand4_0003,CIRCpedia:MMU_CIRCpedia_4003,TSCD:chr6:116273572-116273872
Condition-independent	Mouse	mmu_circErc1_001	mm10	chr6:119749837-119773901	-	756	NM_053204	Erc1	ENSMUSG00000030172	1	3: RPF,cORF,m6A	circAtlas:mmu-Erc1_0009,CIRCpedia:MMU_CIRCpedia_4911
Condition-independent	Mouse	mmu_circRad52_001	mm10	chr6:119920109-119921028	+	303	NR_149727	Rad52	ENSMUSG00000030166	3	3: RPF,cORF,m6A	circAtlas:mmu-Rad52_0005,circBase:mmu_circ_0001516,CIRCpedia:MMU_CIRCpedia_4990
Condition-independent	Mouse	mmu_circBcl2l13_001	mm10	chr6:120870765-120876346	+	214	NM_153516	Bcl2l13	ENSMUSG00000009112	1	2: RPF,cORF	circAtlas:mmu-Bcl2l13_0001,circBase:mmu_circ_0001518,CIRCpedia:MMU_CIRCpedia_5244
Condition-independent	Mouse	mmu_circMug-ps1_001	mm10	chr6:122207896-122209106	+	380	NR_027619	Mug-ps1	ENSMUSG00000101397	1	2: RPF,cORF	circAtlas:mmu-Mug-ps1_0001,CIRCpedia:MMU_CIRCpedia_39539,TSCD:chr6:122207896-122209106
Condition-independent	Mouse	mmu_circMug-ps1_002	mm10	chr6:122229312-122230786	+	306	NR_027619	Mug-ps1	ENSMUSG00000101397	1	2: RPF,cORF	circAtlas:mmu-Mug-ps1_0004,CIRCpedia:MMU_CIRCpedia_39542
Condition-independent	Mouse	mmu_circParp11_001	mm10	chr6:127468031-127470830	+	250	NM_001362187	Parp11	ENSMUSG00000037997	1	2: RPF,cORF	CIRCpedia:MMU_CIRCpedia_227330
Condition-independent	Mouse	mmu_circPzp_001	mm10	chr6:128513735-128516930	-	387	NM_007376	Pzp	ENSMUSG00000030359	1	2: RPF,cORF	circAtlas:mmu-Pzp_0014,CIRCpedia:MMU_CIRCpedia_219224
Condition-independent	Mouse	mmu_circKap_001	mm10	chr6:133851728-133852094	-	240	NM_010594	Kap	ENSMUSG00000032758	1	2: RPF,cORF	circAtlas:mmu-Kap_0009
Condition-independent	Mouse	mmu_circKap_002	mm10	chr6:133851917-133852094	-	177	NM_010594	Kap	ENSMUSG00000032758	1	3: RPF,cORF,MS	circAtlas:mmu-Kap_0001,TSCD:chr6:133851917-133852094
Condition-independent	Mouse	mmu_circDusp16_001	mm10	chr6:134758618-134761434	-	728	NM_130447	Dusp16	ENSMUSG00000030203	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Dusp16_0001,circBase:mmu_circ_0013121,CIRCpedia:MMU_CIRCpedia_8165
Condition-independent	Mouse	mmu_circGrin2b_001	mm10	chr6:136043890-136044319	-	429	NM_008171	Grin2b	ENSMUSG00000030209	1	3: RPF,cORF,m6A	circAtlas:mmu-Grin2b_0003,circBase:mmu_circ_0013130,CIRCpedia:MMU_CIRCpedia_8353
Condition-independent	Mouse	mmu_circPlekha5_001	mm10	chr6:140543719-140544187	+	468	NM_144920	Plekha5	ENSMUSG00000030231	1	3: RPF,cORF,m6A	circAtlas:mmu-Plekha5_0021,circBase:mmu_circ_0013146,CIRCpedia:MMU_CIRCpedia_8968
Condition-independent	Mouse	mmu_circSlco1b2_001	mm10	chr6:141648488-141657606	+	634	NM_020495	Slco1b2	ENSMUSG00000030236	1	2: RPF,cORF	circAtlas:mmu-Slco1b2_0001,CIRCpedia:MMU_CIRCpedia_39554,TSCD:chr6:141648488-141657606
Condition-independent	Mouse	mmu_circSlco1b2_002	mm10	chr6:141648488-141672313	+	1410	NM_020495	Slco1b2	ENSMUSG00000030236	1	2: RPF,cORF	circAtlas:mmu-Slco1b2_0006
Condition-independent	Mouse	mmu_circSlco1b2_003	mm10	chr6:141652442-141657606	+	492	NM_020495	Slco1b2	ENSMUSG00000030236	1	2: RPF,cORF	circAtlas:mmu-Slco1b2_0003,CIRCpedia:MMU_CIRCpedia_39556
Condition-independent	Mouse	mmu_circSox5_001	mm10	chr6:143861383-143874150	-	324	NM_001347506	Sox5	ENSMUSG00000041540	1	3: RPF,cORF,m6A	circAtlas:mmu-Sox5_0005,circBase:mmu_circ_0013168,CIRCpedia:MMU_CIRCpedia_9412
Condition-independent	Mouse	mmu_circLrmp_001	mm10	chr6:145158643-145161017	+	291	NM_001361633	Lrmp	ENSMUSG00000030263	1	3: RPF,cORF,MS	circAtlas:mmu-Lrmp_0003
Condition-independent	Mouse	mmu_circSae1_001	mm10	chr7:16336693-16370460	-	668	NM_019748	Sae1	ENSMUSG00000052833	1	3: RPF,cORF,m6A	circAtlas:mmu-Sae1_0018
Condition-independent	Mouse	mmu_circMark4_001	mm10	chr7:19436937-19437518	-	220	NM_001368427	Mark4	ENSMUSG00000030397	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Mark4_0004,circBase:mmu_circ_0014057,CIRCpedia:MMU_CIRCpedia_12730,TSCD:chr7:19436937-19437518
Condition-independent	Mouse	mmu_circTgfb1_001	mm10	chr7:25692376-25696995	+	357	NM_011577	Tgfb1	ENSMUSG00000002603	1	3: RPF,cORF,m6A	circAtlas:mmu-Tgfb1_0004
Condition-independent	Mouse	mmu_circHnrnpl_001	mm10	chr7:28814201-28815352	+	691	NM_177301	Hnrnpl	ENSMUSG00000015165	1	2: RPF,cORF	circAtlas:mmu-Hnrnpl_0002
Condition-independent	Mouse	mmu_circSipa1l3_001	mm10	chr7:29383195-29388151	-	626	NM_001081028	Sipa1l3	ENSMUSG00000030583	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Sipa1l3_0007,circBase:mmu_circ_0014127,CIRCpedia:MMU_CIRCpedia_15444,TSCD:chr7:29383195-29388151
Condition-independent	Mouse	mmu_circMed25_001	mm10	chr7:44882758-44883025	-	166	NM_029365	Med25	ENSMUSG00000002968	1	3: RPF,cORF,MS	CIRCpedia:MMU_CIRCpedia_37035
Condition-independent	Mouse	mmu_circAp2a1_001	mm10	chr7:44915840-44916470	-	502	NM_007458	Ap2a1	ENSMUSG00000060279	1	2: RPF,cORF	circAtlas:mmu-Ap2a1_0001,circBase:mmu_circ_0001561,CIRCpedia:MMU_CIRCpedia_20431
Condition-independent	Mouse	mmu_circAldh16a1_001	mm10	chr7:45142779-45143298	-	309	NM_145954	Aldh16a1	ENSMUSG00000007833	1	2: RPF,cORF	circAtlas:mmu-Aldh16a1_0001,CIRCpedia:MMU_CIRCpedia_20520
Condition-independent	Mouse	mmu_circLdha_001	mm10	chr7:46850177-46851058	+	348	NR_102727	Ldha	ENSMUSG00000063229	2	3: RPF,cORF,m6A	circAtlas:mmu-Ldha_0001,CIRCpedia:MMU_CIRCpedia_20984
Condition-independent	Mouse	mmu_circLdhc_001	mm10	chr7:46861762-46876597	+	841	NM_001368362	Ldhc	ENSMUSG00000030851	1	3: RPF,cORF,m6A	circAtlas:mmu-Ldhc_0009
Condition-independent	Mouse	mmu_circPrmt3_001	mm10	chr7:49791972-49806626	+	288	NM_133740	Prmt3	ENSMUSG00000030505	1	3: RPF,cORF,m6A	circAtlas:mmu-Prmt3_0001,circBase:mmu_circ_0014248,CIRCpedia:MMU_CIRCpedia_21673
Condition-independent	Mouse	mmu_circCyfip1_001	mm10	chr7:55907318-55919563	+	552	NM_001164662	Cyfip1	ENSMUSG00000030447	1	2: RPF,cORF	circAtlas:mmu-Cyfip1_0021,CIRCpedia:MMU_CIRCpedia_224012
Condition-independent	Mouse	mmu_circHerc2_001	mm10	chr7:56097376-56098486	+	341	NM_010418	Herc2	ENSMUSG00000030451	1	4: RPF,cORF,MS,m6A	circAtlas:mmu-Herc2_0020,circBase:mmu_circ_0001570,CIRCpedia:MMU_CIRCpedia_23467,TSCD:chr7:56097376-56098486
Condition-independent	Mouse	mmu_circMef2a_001	mm10	chr7:67264864-67268400	-	412	NM_001291195	Mef2a	ENSMUSG00000030557	1	3: RPF,cORF,m6A	circAtlas:mmu-Mef2a_0001,circBase:mmu_circ_0014362,CIRCpedia:MMU_CIRCpedia_26743
Condition-independent	Mouse	mmu_circIgf1r_001	mm10	chr7:68003809-68004355	+	546	NM_010513	Igf1r	ENSMUSG00000005533	1	3: RPF,cORF,m6A	circAtlas:mmu-Igf1r_0001,circBase:mmu_circ_0001582,CIRCpedia:MMU_CIRCpedia_26913
Condition-independent	Mouse	mmu_circFam169b_001	mm10	chr7:68300832-68304651	+	231	NM_001013811	Fam169b	ENSMUSG00000074071	1	3: RPF,cORF,MS	circAtlas:mmu-Fam169b_0001,CIRCpedia:MMU_CIRCpedia_39438
Condition-independent	Mouse	mmu_circChd2_001	mm10	chr7:73507805-73519708	-	427	NM_001081345	Chd2	ENSMUSG00000078671	1	2: RPF,cORF	circAtlas:mmu-Chd2_0098,CIRCpedia:MMU_CIRCpedia_28451
Condition-independent	Mouse	mmu_circSv2b_001	mm10	chr7:75156606-75157449	-	333	NM_001360575	Sv2b	ENSMUSG00000053025	1	3: RPF,cORF,MS	circAtlas:mmu-Sv2b_0003,CIRCpedia:MMU_CIRCpedia_28987
